ID,Case Name,Filing Year,Description,Case Categories,Principal Laws
3358,American Tradition Institute v. NASA,2011,Lawsuit seeking records of James Hansen pertaining to his outside employment and revenue generation.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests|Climate Change Protesters and Scientists>Scientists,American Tradition Institute v. NASA
3363,"Shell Offshore, Inc. v. Greenpeace, Inc.",2012,Oil company lawsuit seeking to bar environmental activists from occupying its drilling ship bound for Arctic.,Climate Change Protesters and Scientists>Protesters,"Shell Offshore, Inc. v. Greenpeace, Inc."
3371,"Stein v. Kyocera Mita America, Inc.",2012,Action by actor Ben Stein alleging that a Japanese company unlawfully fired him for his views about climate change.,Climate Change Protesters and Scientists>Protesters,"Stein v. Kyocera Mita America, Inc."
3373,"Dominion Cove Point LNG, L.P. v. Sierra Club",2011,"Action seeking declaratory judgment that Sierra Club’s effort to block conversion of LNG terminal into export facility had no basis under a 2005 agreement.
",State Law Claims>Industry Lawsuits,"Dominion Cove Point LNG, L.P. v. Sierra Club"
3379,"Shell Gulf of Mexico, Inc. v. Center for Biological Diversity",2012,Action by oil company seeking declaration that government agencies properly issued it an “incidental harassment authorization” to drill in the Arctic.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,"Shell Gulf of Mexico, Inc. v. Center for Biological Diversity"
3381,"Shell Gulf of Mexico Inc. v. Center for Biological Diversity, Inc.",2012,Oil company action seeking declaration that government agency properly approved its oil spill response plans for drilling in the Arctic.,Federal Statutory Claims>Other Statutes and Regulations,"Shell Gulf of Mexico Inc. v. Center for Biological Diversity, Inc."
3384,Sierra Club v. 22nd District Agricultural Association,2011,Challenge to EIS for renovation of fairgrounds.,State Law Claims>State Impact Assessment Laws,Sierra Club v. 22nd District Agricultural Association
3386,Habitat and Watershed Caretakers v. City of Santa Cruz,2010,"Challenge to environmental impact report to allow city to provide water and sewer service to new development.
",State Law Claims>State Impact Assessment Laws,Habitat and Watershed Caretakers v. City of Santa Cruz
3399,Lewis v. McCarthy,2015,"Challenge to EPA’s determination that it had completed the Clean Air Act’s requirement that it promulgate emissions standards for hazardous air pollutant source categories.
",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Lewis v. McCarthy
3402,Montana Environmental Information Center v. U.S. Office of Surface Mining,2015,"Challenge to federal approvals for expansion of coal mine in central Montana.
",Federal Statutory Claims>NEPA,Montana Environmental Information Center v. U.S. Office of Surface Mining
3415,North Coast Rivers Alliance v. Marin Municipal Water District Board of Directors,2009,"Challenge to desalination facility.
",State Law Claims>State Impact Assessment Laws,North Coast Rivers Alliance v. Marin Municipal Water District Board of Directors
3443,Helping Hand Tools v. EPA,2014,"Challenge to PSD permit for biomass-burning power plant at California lumber yard.
",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Helping Hand Tools v. EPA
3452,WildEarth Guardians v. U.S. Department of Interior,2014,"Challenge to critical habitat designation for Canadian lynx.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,WildEarth Guardians v. U.S. Department of Interior
3455,Alliance for the Wild Rockies v. Lyder,2009,Challenge to designation of critical habitat for Canada lynx.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Alliance for the Wild Rockies v. Lyder
3471,Citizens Against Airport Pollution v. City of San Jose,2010,"Challenge to amendment to airport master plan.
",State Law Claims>State Impact Assessment Laws,Citizens Against Airport Pollution v. City of San Jose
3499,"Oceana, Inc. v. Ross",2015,"Challenge to biological opinion for continued operation of shrimp trawl fisheries.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,"Oceana, Inc. v. Ross"
3508,Center for Biological Diversity v. Zinke,2015,"Challenge to determination not to list distinct population segment of Arctic grayling as endangered or threatened.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. Zinke
3511,Public Service Co. of Colorado v. City of Boulder,2014,"Challenge to City of Boulder ordinances that took steps to implement creation of new municipal utility.
",State Law Claims>Utility Regulation,Public Service Co. of Colorado v. City of Boulder
3521,People v. Southern California Gas Co.,2016,"Criminal charges in connection with leak at natural gas storage facility in southern California.
",State Law Claims>Enforcement Cases,People v. Southern California Gas Co.
3524,In re Arizona Public Service Co. Ocotillo Power Plant,2016,"Challenge to PSD permits for new natural gas-fired turbines.
",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,In re Arizona Public Service Co. Ocotillo Power Plant
3532,Sierra Club v. Federal Energy Regulatory Commission,2016,"Challenge to FERC approvals for natural gas pipeline from Alabama to Florida.
",Federal Statutory Claims>NEPA,Sierra Club v. Federal Energy Regulatory Commission
3535,Gulf Restoration Network v. U.S. Army Corps of Engineers,2016,"Challenge to Clean Water Act permit for natural gas pipeline from Alabama to Florida.
",Federal Statutory Claims>Clean Water Act,Gulf Restoration Network v. U.S. Army Corps of Engineers
3545,Constitution Pipeline Co. v. Seggos,2016,"Challenge to denial of water quality certification for natural gas pipeline from Pennsylvania to New York.
",Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>Other Statutes and Regulations,Constitution Pipeline Co. v. Seggos
3562,Energy &amp; Environmental Legal Institute v. Attorney General of Vermont,2016,"Action to compel the Vermont attorney general to respond to request for documents related to common interest agreement between states.
",State Law Claims>Freedom of Information/Public Records|State Law Claims>Industry Lawsuits,Energy &amp; Environmental Legal Institute v. Attorney General of Vermont
3565,"In re Tesla Motors, Inc. Stockholder Litigation",2016,"Claims against proposed acquisition of SolarCity Corporation by Tesla Motors, Inc.
",Securities and Financial Regulation,"In re Tesla Motors, Inc. Stockholder Litigation"
3576,"Zangara Dodge, Inc. v. Curry",2007,Challenge to vehicle emission standards adopted by New Mexico and the Albuquerque-Bernalillo County Air Quality Control Board.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>State and Municipal Vehicle Standards,"Zangara Dodge, Inc. v. Curry"
3601,Center for Biological Diversity v. Kempthorne,2008,Challenge to failure to list the American pika as threatened under the Endangered Species Act.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. Kempthorne
3606,Center for Biological Diversity v. California Fish &amp; Game Commission,2008,Challenge to denial of petition to list American pika as threatened under California's endangered species act.,State Law Claims>Environmentalist Lawsuits,Center for Biological Diversity v. California Fish &amp; Game Commission
3610,Center for Biological Diversity v. California Fish &amp; Game Commission,2009,Challenge to denial by state agency to list American pika as “threatened” species under California Endangered Species Act,State Law Claims>Environmentalist Lawsuits,Center for Biological Diversity v. California Fish &amp; Game Commission
3616,"Greater Yellowstone Coalition, Inc. v. Servheen",2007,"Action challenging decision to remove threatened-status protection for grizzly bears in Yellowstone.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,"Greater Yellowstone Coalition, Inc. v. Servheen"
3618,Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service,2008,"Challenge to Fish and Wildlife Service failure to respond to petition requesting listing of Pacific walrus as threatened or endangered under the Endangered Species Act.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service
3622,Center for Biological Diversity v. Kempthorne,2008,Challenge to rule authorizing “incidental take” of polar bears and Pacific walruses in connection with oil and gas development.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. Kempthorne
3624,Center for Biological Diversity v. Hall,2008,"Action seeking to compel decision on petition to list 12 penguin species as endangered.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. Hall
3628,Center for Biological Diversity v. Salazar,2010,"Action to force U.S. government to complete Endangered Species Act listing process for seven penguin species.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. Salazar
3631,Center for Biological Diversity v. Locke,2009,"Challenge to government’s alleged failure to designate critical habitat for endangered turtle species.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. Locke
3634,Sierra Club v. U.S. Fish &amp; Wildlife Service,2013,"Challenge to Fish and Wildlife Service response to petition to revise critical habitat for leatherback sea turtles.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Sierra Club v. U.S. Fish &amp; Wildlife Service
3647,Alaska Oil &amp; Gas Association v. Pritzker,2013,"Challenge to designation of distinct population segments of bearded seals as threatened.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Alaska Oil &amp; Gas Association v. Pritzker
3653,Mann v. Competitive Enterprise Institute,2012,Defamation action brought by climate scientist against authors and publishers of articles about scientist's work.,Climate Change Protesters and Scientists>Scientists,Mann v. Competitive Enterprise Institute
3676,Competitive Enterprise Institute v. United States Department of State,2016,Action to compel disclosure of documents related to United States' international climate negotiations.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Competitive Enterprise Institute v. United States Department of State
3708,Coalition for Competitive Electricity v. Zibelman,2016,"Challenge to component of New York Clean Energy Standard that provided payments to certain nuclear facilities providing ""zero-emission"" power.",Constitutional Claims>Commerce Clause|Constitutional Claims>Other Constitutional Claims,Coalition for Competitive Electricity v. Zibelman
3718,Richardson v. Herring,2016,Action to compel Virginia attorney general records regarding state climate change investigations.,State Law Claims>Industry Lawsuits,Richardson v. Herring
3724,Sierra Club v. United States Department of Energy,2016,Challenge to U.S. Department of Energy's approval of three applications to export liquefied natural gas from a Louisiana facility.,Federal Statutory Claims>NEPA,Sierra Club v. United States Department of Energy
3727,Sierra Club v. United States Department of Energy,2016,"Challenge to U.S. Department of Energy approval of application to export liquefied natural gas from facility in Corpus Christi, Texas.",Federal Statutory Claims>NEPA,Sierra Club v. United States Department of Energy
3729,People ex rel. California Air Resources Board v. Paramount Petroleum Corp.,2016,State enforcement action seeking civil penalties for alleged violations of Low Carbon Fuel Standard by transportation fuels provider.,State Law Claims>Enforcement Cases,People ex rel. California Air Resources Board v. Paramount Petroleum Corp.
3741,Biogenic CO2 Coalition v. EPA,2016,Challenge to EPA's endangerment finding for greenhouse gas emissions from commercial aircraft.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Endangerment Findings,Biogenic CO2 Coalition v. EPA
3744,Sierra Club v. Federal Energy Regulatory Commission,2015,"Challenge to FERC approvals of liquefied natural gas facilities in Texas.
",Federal Statutory Claims>NEPA,Sierra Club v. Federal Energy Regulatory Commission
3758,Wild Fish Conservancy v. Irving,2014,Challenge to biological opinion for fish hatchery.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Wild Fish Conservancy v. Irving
3781,National Waste &amp; Recycling Association v. EPA,2016,Challenge to emission guidelines for municipal solid waste landfills.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Other Regulation,National Waste &amp; Recycling Association v. EPA
3784,Fentress v. Exxon Mobil Corp.,2016,Class action lawsuit on behalf of Exxon Mobil Corporation (Exxon) employees alleging that Exxon defendants' failure to disclose climate change information violated fiduciary duties under Employee Retirement Income Security Act.,Securities and Financial Regulation,Fentress v. Exxon Mobil Corp.
3787,Ramirez v. Exxon Mobil Corp.,2016,Securities fraud class action against Exxon Mobil Corporation (Exxon) alleging that Exxon failed to disclose climate risks.,Securities and Financial Regulation,Ramirez v. Exxon Mobil Corp.
3793,Wyoming v. United States Department of Interior,2016,Challenge to United States Bureau of Land Management’s final rule concerning methane emissions from oil and gas operations on federal and tribal lands.,Federal Statutory Claims>Other Statutes and Regulations,Wyoming v. United States Department of Interior
3801,"Hudson River Sloop Clearwater, Inc. v. New York State Public Service Commission",2016,Challenge to the portion of New York's Clean Energy Standard that provides payments to certain nuclear power facilities.,State Law Claims>Utility Regulation,"Hudson River Sloop Clearwater, Inc. v. New York State Public Service Commission"
3807,People of State of New York v. PricewaterhouseCoopers LLP,2016,Action by New York Attorney General to compel compliance with subpoenas issued in its investigation of Exxon Mobil Corporation's climate change disclosures.,Securities and Financial Regulation,People of State of New York v. PricewaterhouseCoopers LLP
3835,Oregon Wild v. Connaughton,2012,"Challenge to environmental review for expansion of ski area in Oregon based on failure to conduct supplemental review based on new information, including new climate information.",Federal Statutory Claims>NEPA,Oregon Wild v. Connaughton
3840,United States v. Ruffatto,2016,Criminal action against company owner who used federal funds awarded for carbon sequestration study for personal use.,Federal Statutory Claims>Other Statutes and Regulations,United States v. Ruffatto
3843,Minnesota Automobile Dealers Association v. Stine,2015,Challenge to Minnesota's requirement that diesel fuel sold in the state contain a certain percentage of biodiesel.,Constitutional Claims>Other Constitutional Claims,Minnesota Automobile Dealers Association v. Stine
3857,Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service,2016,Challenge to withdrawal of proposed designation of the Pacific fisher as a threatened species.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service
3866,Avista Corp. v. Bellon,2016,Challenge by utilities and local distribution company to greenhouse gas regulations adopted by Washington Department of Ecology.,Constitutional Claims>Commerce Clause,Avista Corp. v. Bellon
3869,Association of Washington Business v. Washington State Department of Ecology,2016,Challenge by business and trade groups to greenhouse gas regulations adopted by the Washington Department of Ecology.,State Law Claims>Industry Lawsuits|State Law Claims>State Impact Assessment Laws,Association of Washington Business v. Washington State Department of Ecology
3872,Goldstein v. Climate Action Network,2016,Lawsuit asserting Racketeer Influenced and Corrupt Organizations Act claims against environmental organizations alleging that false claims regarding anthropogenic carbon emissions' connection to climate change amounted to a criminal scheme.,Climate Change Protesters and Scientists>Scientists|Federal Statutory Claims>Other Statutes and Regulations,Goldstein v. Climate Action Network
3877,Energy &amp; Environment Legal Institute v. Attorney General of New York,2016,Proceeding to compel New York attorney general to release certain correspondence regarding climate change-related investigations.,State Law Claims>Freedom of Information/Public Records,Energy &amp; Environment Legal Institute v. Attorney General of New York
3882,American Bird Conservancy v. Disbrow,2017,"Challenge by two bird conservation groups to a wind turbine project sponsored by the Ohio Air National Guard at Camp Perry in Ottawa County, Ohio.",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,American Bird Conservancy v. Disbrow
3887,State of New Mexico ex rel. Hanosh v. State of New Mexico ex rel. King,2007,"Challenge to state environmental board’s authority to implement emission laws for cars sold in New Mexico.
",State Law Claims>Industry Lawsuits,State of New Mexico ex rel. Hanosh v. State of New Mexico ex rel. King
3892,Association of Taxicab Operators USA v. City of Dallas,2010,Challenge to Dallas ordinance giving preference to taxis that run on compressed natural gas.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>State and Municipal Vehicle Standards,Association of Taxicab Operators USA v. City of Dallas
3920,American Chemistry Council v. EPA,2009,Challenge to EPA’s reporting rule for greenhouse gas sources.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>GHG Reporting Rule,American Chemistry Council v. EPA
3937,Gas Processors Association v. EPA,2011,"Challenges to EPA rules requiring oil and natural gas companies to report greenhouse gas emissions.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>GHG Reporting Rule,Gas Processors Association v. EPA
3939,Semiconductor Industry Association v. EPA,2011,"Challenge to EPA reporting rule for sources of fluorinated greenhouse gases.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>GHG Reporting Rule,Semiconductor Industry Association v. EPA
3940,"Waste Management, Inc. v. EPA",2014,Challenge to amendment of greenhouse gas reporting rule.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>GHG Reporting Rule,"Waste Management, Inc. v. EPA"
3947,American Petroleum Institute v. EPA,2015,"Challenge to revisions to greenhouse gas reporting rule that changed requirements for the petroleum and natural gas systems source category.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>GHG Reporting Rule,American Petroleum Institute v. EPA
3951,Chamber of Commerce of the United States of America v. EPA,2009,"Challenge to EPA’s approval of California waiver for vehicle emission standards.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>State and Municipal Vehicle Standards,Chamber of Commerce of the United States of America v. EPA
3965,"Plant Oil Powered Diesel Fuel Systems, Inc. v. U.S. Department of Transportation",2012,Challenge to fuel economy and greenhouse gas emission standards for cars and light-duty trucks.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Federal Vehicle Standards,"Plant Oil Powered Diesel Fuel Systems, Inc. v. U.S. Department of Transportation"
3968,Utility Air Regulatory Group v. EPA,2012,Challenge to fuel economy and greenhouse gas emission standards for cars and light-duty trucks.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Federal Vehicle Standards,Utility Air Regulatory Group v. EPA
3992,Texas v. EPA,2010,"Challenge to EPA rules imposing federal greenhouse gas permitting requirements.

",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>PSD Program,Texas v. EPA
4050,"Monroe Energy, LLC v. EPA",2013,Challenge to EPA’s final rule setting the 2013 renewable fuel standards.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,"Monroe Energy, LLC v. EPA"
4054,"Monroe Energy, LLC v. EPA",2013,"Challenge to EPA’s cellulosic biofuel standard for 2013.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,"Monroe Energy, LLC v. EPA"
4071,"Monroe Energy, LLC v. EPA",2014,"Challenge to the provision in EPA’s 2010 renewable fuel standard rule that imposes compliance obligations on refiners and importers.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,"Monroe Energy, LLC v. EPA"
4079,Carbon Sequestration Council v. EPA,2014,Challenge to EPA’s conditional exclusion from RCRA’s hazardous waste definition for carbon dioxide streams injected into Underground Injection Control Class VI wells.,Federal Statutory Claims>Other Statutes and Regulations,Carbon Sequestration Council v. EPA
4087,"Plant Oil Powered Diesel Fuel Systems, Inc. v. EPA",2015,"Challenge to delay in promulgating final 2014 standards for the Renewable Fuel Standard program.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,"Plant Oil Powered Diesel Fuel Systems, Inc. v. EPA"
4108,American Fuel &amp; Petrochemical Manufacturers v. McCarthy,2015,"Action to compel EPA to establish renewable fuel volume requirements for the 2014 and 2015 compliance years.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,American Fuel &amp; Petrochemical Manufacturers v. McCarthy
4115,In re Quantification of Environmental Costs,1997,"Lawsuit seeking review of Minnesota Public Utility Commission's decision setting environmental cost values for carbon dioxide.
",State Law Claims>Utility Regulation,In re Quantification of Environmental Costs
4117,Alliance of Automobile Manufacturers v. Sheehan,2005,"Challenge to New York’s decision that no environmental impact statement was required before adopting California’s greenhouse gas emission standards for vehicles.
",State Law Claims>Industry Lawsuits,Alliance of Automobile Manufacturers v. Sheehan
4120,Tesoro Refining &amp; Marketing Co. v. California Air Resources Board,2008,"Challenge to state rule requiring oil refiners to increase corn-based ethanol in gasoline, alleging, among other things, that ethanol production would result in increased greenhouse gas emissions.
",State Law Claims>Industry Lawsuits,Tesoro Refining &amp; Marketing Co. v. California Air Resources Board
4150,"New Energy Economy, Inc. v. Martinez",2011,Petition to compel the State to publish greenhouse gas regulations in State Register.,State Law Claims>Environmentalist Lawsuits,"New Energy Economy, Inc. v. Martinez"
4237,Exxon Mobil Corp. v. Office of the Attorney General,2016,Action by ExxonMobil Corporation to set aside civil investigative demand issued by Massachusetts attorney general under consumer protection statute seeking information on Exxon's knowledge and disclosure of climate change-related risks.,State Law Claims>Enforcement Cases|Securities and Financial Regulation,Exxon Mobil Corp. v. Office of the Attorney General
4240,Schmid v. Sonoma Clean Power,2014,"Challenge to automatic enrollment procedures for alternative, cleaner-energy electricity service provider.",Constitutional Claims>First Amendment|Constitutional Claims>Fourteenth Amendment,Schmid v. Sonoma Clean Power
4243,National Biodiesel Board v. EPA,2015,Challenge to EPA approval of alternative procedures for Argentine biofuel producers compliance with land use requirements of the Renewable Fuel Standard.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,National Biodiesel Board v. EPA
4252,Western Organization of Resource Councils v. U.S. Bureau of Land Management,2016,Challenge to resource management plans for areas in Montana and Wyoming in the Powder River Basin.,Federal Statutory Claims>NEPA,Western Organization of Resource Councils v. U.S. Bureau of Land Management
4265,Friends of the Wild Swan v. Thorson,2016,Challenge to recovery plan for the coterminous United States population of bull trout. ,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Friends of the Wild Swan v. Thorson
4270,People of New York v. Bucci,2013,Charges of disorderly conduct against pipeline protesters who asserted a justification defense.,Climate Change Protesters and Scientists>Protesters,People of New York v. Bucci
4272,Murphy v. Zoning Board of City of Stamford,2014,Challenge to changes to the definition of building height in zoning regulations for areas within the City of Stamford's Coastal Boundary.,Adaptation>Challenges to adaptation measures,Murphy v. Zoning Board of City of Stamford
4294,"Natural Resources Defense Council, Inc. v. Wheeler",2020,Challenge to revisions to the Refrigerant Management Program’s 2016 extension to substitute refrigerants (originally consolidated with industry challenge to 2016 rule (Nos. 17-1016 and 17-1017)).,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,"Natural Resources Defense Council, Inc. v. Wheeler"
4302,"Truck Trailer Manufacturers Association, Inc. v. EPA",2016,Challenge to greenhouse gas emissions and fuel efficiency standards for medium- and heavy-duty engines and vehicles.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Federal Vehicle Standards,"Truck Trailer Manufacturers Association, Inc. v. EPA"
4309,Columbia Pacific Building Trades Council v. City of Portland,2017,Challenge to Portland zoning amendments restricting fossil fuel terminals.,Constitutional Claims>Commerce Clause|State Law Claims>Industry Lawsuits,Columbia Pacific Building Trades Council v. City of Portland
4312,"Kane County, Utah v. Jewell",2016,Challenge by rural Utah counties to moratorium on federal coal leasing.,Federal Statutory Claims>Other Statutes and Regulations,"Kane County, Utah v. Jewell"
4318,Cleveland National Forest Foundation v. County of San Diego,2017,Challenge to the Forest Conservation Initiative Amendment to the San Diego County general plan.,State Law Claims>State Impact Assessment Laws,Cleveland National Forest Foundation v. County of San Diego
4319,Sierra Club v. County of San Diego,2017,Challenge to the Forest Conservation Initiative Amendment to the San Diego County general plan.,State Law Claims>State Impact Assessment Laws,Sierra Club v. County of San Diego
4321,"Citizens for the Regents Road Bridge, Inc. v. City of San Diego",2017,Challenge to City of San Diego’s removal of a bridge project from a community plan.,State Law Claims>State Impact Assessment Laws,"Citizens for the Regents Road Bridge, Inc. v. City of San Diego"
4323,Mission Hills Heritage v. City of San Diego,2017,Challenge to the City of San Diego’s approval of a community plan update.,State Law Claims>State Impact Assessment Laws,Mission Hills Heritage v. City of San Diego
4326,Gonzalez v. City of San Diego,2016,Challenge to the City of San Diego’s approval of two development projects—a 60-story mixed-use building and a 20-story hotel tower.,State Law Claims>State Impact Assessment Laws,Gonzalez v. City of San Diego
4443,"Comer v. Murphy Oil USA, Inc.",2005,"Action seeking damages related to Hurricane Katrina under tort law theories.
",Adaptation>Actions seeking money damages for losses|Common Law Claims,"Comer v. Murphy Oil USA, Inc."
4459,Seeds of Peace Collective v. City of Pittsburgh,2009,"Action alleging that city interfered with right to assemble during coal conference.
",Climate Change Protesters and Scientists>Protesters,Seeds of Peace Collective v. City of Pittsburgh
4511,"TransCanada Keystone Pipeline, LP v. Beebe",2012,"Lawsuit seeking injunction against protesters concerning construction of oil pipeline.
",Climate Change Protesters and Scientists>Protesters,"TransCanada Keystone Pipeline, LP v. Beebe"
4538,Center for Biological Diversity v. EPA,2009,Rulemaking petition and related litigation requesting that EPA revise pH water quality criteria to address ocean acidification.,Federal Statutory Claims>Clean Water Act,Center for Biological Diversity v. EPA
4568,Columbia Riverkeeper v. Wheeler,2017,Lawsuit alleging that EPA violated the Clean Water Act by failing to issue a total maximum daily load (TMDL) for temperature pollution in the Columbia and Snake Rivers in Oregon and Washington.,Federal Statutory Claims>Clean Water Act,Columbia Riverkeeper v. Wheeler
4572,Friends of Animals v. Phifer,2015,Challenge to incidental take permit allowing incidental takes of Canada lynx in connection with state-regulated trapping programs in Maine.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Friends of Animals v. Phifer
4576,State v. Ward,2016,Criminal action against protester who turned off valve on oil pipeline in Washington.,Climate Change Protesters and Scientists>Protesters,State v. Ward
4588,"Coffeyville Resources Refining &amp; Marketing, LLC v. EPA",2017,Challenge to EPA’s final Renewable Fuel Standards for 2017 and Biomass-Based Diesel Volume for 2018.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,"Coffeyville Resources Refining &amp; Marketing, LLC v. EPA"
4607,Energy &amp; Environment Legal Institute v. United States Department of State,2017,Action to compel disclosure of State Department communications regarding climate change negotiations with China,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Energy &amp; Environment Legal Institute v. United States Department of State
4615,Electric Power Supply Association v. Star,2017,Challenge to Illinois law that created a Zero Emissions Credit program allegedly to support uneconomic nuclear plants.,Constitutional Claims>Commerce Clause|Constitutional Claims>Other Constitutional Claims,Electric Power Supply Association v. Star
4618,Center for Biological Diversity v. EPA,2017,Action to compel EPA to respond to petition seeking objection to Title V permit for natural gas plant in California.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Center for Biological Diversity v. EPA
4621,"Public Citizen, Inc. v. Trump",2017,Challenge to President Trump's executive order on “Reducing Regulation and Controlling Regulatory Costs” as well as interim guidance for the order’s implementation.,Constitutional Claims>Other Constitutional Claims,"Public Citizen, Inc. v. Trump"
4624,Holmquist v. United States,2017,Challenge to Interstate Commerce Commission Termination Act of 1995 preemption of local prohibitions on rail transportation of fossil fuels. ,Constitutional Claims>Other Constitutional Claims|Federal Statutory Claims>Other Statutes and Regulations,Holmquist v. United States
4637,Center for Media &amp; Democracy v. Hunter,2017,Action to compel response by Oklahoma attorney general to Open Records Act request for documents regarding industry ties of attorney general Scott Pruitt.,State Law Claims>Freedom of Information/Public Records,Center for Media &amp; Democracy v. Hunter
4643,Allegheny Defense Project v. Federal Energy Regulatory Commission,2017,Challenge to FERC approval of the Atlantic Sunrise natural gas pipeline expansion project in Pennsylvania and other locations on East Coast.,Federal Statutory Claims>NEPA,Allegheny Defense Project v. Federal Energy Regulatory Commission
4651,Sierra Club v. EPA,2013,Challenge to EPA’s decision to extend the deadline in a PSD permit for commencing construction where permit was challenged in separate proceeding for failure to include greenhouse gas controls.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Sierra Club v. EPA
4652,Sierra Club v. EPA,2011,"Challenge to EPA’s decision to issue PSD permit to gas-fired power plant in California without requiring greenhouse gas controls.
",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Sierra Club v. EPA
4653,Save Panoche Valley v. San Benito County,2010,"Challenge to solar power development project in California.
",State Law Claims>Environmentalist Lawsuits,Save Panoche Valley v. San Benito County
4657,In re Energy Answers Arecibo LLC,2013,"Challenge to PSD permit issued by EPA Region 2 for resource recovery facility.
",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,In re Energy Answers Arecibo LLC
4659,Clean Energy Fuels Corp. v. California Public Utilities Commission,2013,"Challenge to CPUC approval of tariff to fund construction and operation of natural gas compression equipment at customer sites.
",State Law Claims>Utility Regulation,Clean Energy Fuels Corp. v. California Public Utilities Commission
4679,Center for Biological Diversity v. Kempthorne,2007,"Challenge to U.S. Fish and Wildlife Service rule that authorized “incidental take” of polar bears and Pacific walruses from oil and gas activities in and along the Beaufort Sea.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. Kempthorne
4682,Blades v. California,2011,"Action seeking declaration that atmosphere is a public trust resources that the State of California has an obligation to protect for its current and future citizens, including by imposing restrictions on greenhouse gas restrictions.",Public Trust Claims,Blades v. California
