Title,Summary,Status,Jurisdictions,Case Categories,Principal Laws,Core Object,Case Permalink
Unison Networks Ltd. v. Hastings District Council,"Citizen groups challenged the granting of resource consents to Unison Networks Limited to construct and operate a wind farm. The New Zealand Environment Court allowed the appeal. The court determined that despite  the benefits of the wind farm in terms of climate change and providing a source of renewable energy, the proposal did not comply with the Resource Management Act because the proposed project would have significant adverse effects on an outstanding natural landscape.  Unison Networks appealed the courts decision in the High Court of New Zealand. The High Court found no error as a matter of law and dismissed the appeal.",Appeal dismissed,['New Zealand>High Court of New Zealand'],['Suits against governments>Environmental assessment and permitting>Renewable projects'],['New Zealand>Resource Management Act 1991'],Appeal of successful challenge to a proposed wind farm,https://climatecasechart.com/non-us-case/unison-networks-ltd-v-hastings-district-council/
West Coast ENT Inc. v. Buller Coal Ltd.,"Buller Coal Ltd. and Solid Energy Ltd. both applied to West Coast Regional Council and the Buller District Council for resource consents under the Resource Management Act of 1991 to mine coal for export purposes.  At issue was whether the High Court wrongly upheld a declaration that the end use of the coal was irrelevant to the resource consents required under the act. The Supreme Court dismissed the appeal, finding that the purpose of the 2004 Amendment Act precluded consent authorities from taking into account indirect discharges of greenhouse gases in considering applications for resource consents. ",Denied,['New Zealand>Supreme Court of New Zealand'],['Suits against governments>Environmental assessment and permitting>Natural resource extraction'],['New Zealand>Resource Management Act 1991'],Appeal declaration finding that indirect greenhouse gas emissions should not be considered in resource consent applications,https://climatecasechart.com/non-us-case/west-coast-ent-inc-v-buller-coal-ltd/
Gbemre v. Shell Petroleum Development Company of Nigeria Ltd. and Others,"The applicant, Gbemre, a representative of the Niger Delta Iwherekan community instituted an action against (i) the Nigerian government for its failure to stop the oil and gas company Shell in gas flaring for decades and (ii) Shell for engaging in massive and unceasingly intense gas flaring in the community, in the course of its exploration and production activities (jointly respondents). The applicant argues that Shell failed to consider the environmental impact of its activities on the communities means of livelihood, collective survival, as well as the gas flarings contribution to the adverse and potentially life-threatening effects of climate change. The applicant claimed that such gas flaring activities violated the communitys rights to life and human dignity as constitutionally guaranteed by sections 33 and 34 of the 1999 Nigerian Constitution, and reinforced by Articles 4, 16, and 24 of the African Charter on Human and Peoples Rights (ratified and domesticated by Nigeria as Cap. A9, Laws of the Federation of Nigeria, 2004).

The Federal Hight Court held that these constitutionally guaranteed rights inevitably include the rights to a clean, poison and pollution free environment. The federal Judge ruled that the actions of the respondents in allowing and continuing to flare gas in the applicants community is a violation of their fundamental rights to a clean and healthy environment. The judge further ruled that Shells failure to carry out an EIA is a clear violation of the EIA Act and a violation of said rights. The Judges ordered them to take immediate steps to stop gas flaring. The Judge further ordered the Attorney General of Nigeria to ensure speedy amendment of the Associated Gas Re-injection Act to be in line with Nigerias human rights obligations under both the Constitution and the African Charter. The Judge made no award of damages, costs, or compensation.",Decided,['Nigeria>Federal Court of Nigeria'],"['Suits against corporations, individuals>Corporations>Environmental assessment and permitting', 'Suits against governments>Human Rights']",['Nigeria>Constitution of Federal Republic of Nigeria'],Challenge to the practice of gas flaring in the Niger Delta by oil and gas companies,https://climatecasechart.com/non-us-case/gbemre-v-shell-petroleum-development-company-of-nigeria-ltd-et-al/
Non-compliance Procedure of Greece Under The Kyoto Protocol,"The case arose with respect to Greeces failure to establish an initial report to facilitate the calculation of the Kyoto Protocols Parties assigned amount and to demonstrate its capacity to account for emissions and the assigned amount (Kyoto Protocol, article 5(1)). In particular, the maintenance of the institutional and procedural arrangements, the arrangements for the technical competence of relevant staff, and the capacity for timely performance of the Greek national system appeared as unresolved problems. On 17 April 2008, the enforcement branch thus determined that Greece was not in compliance with the guidelines for national systems and therefore not eligible to participate in the emission trading mechanisms under articles 6, 12 and 17 of the Protocol. In July and October 2008, Greece submitted revised reports and plans. On 13 November 2008, the branch decided that there no longer continued to be a question of implementation with respect to Greece's eligibility, and that Greece was fully eligible to participate in the mechanisms under articles 6, 12 and 17 of the Protocol. ",Greece found to be out of compliance with Kyoto Protocol,['United Nations>United Nations Framework Convention on Climate Change'],['Suits against governments>GHG emissions reduction and trading>Kyoto Protocol'],['Kyoto Protocol Compliance Tribunals>Kyoto Protocol'],Greeces failure to establish an initial report demonstrating its capacity to account for emissions,https://climatecasechart.com/non-us-case/non-compliance-procedure-of-greece-under-the-kyoto-protocol/
Ali v. Federation of Pakistan,"Rabab Ali, a 7-year-old girl who lives in Karachi, is the named petitioner in a challenge to various actions and inactions on the part of Pakistans federal government and on the part of the Province of Sindh (where Karachi is located). The Petition, filed directly with the countrys Supreme Court, alleges violations of constitutionally protected fundamental rights, of the Public Trust Doctrine as it relates to Pakistans atmosphere and climate, and of rights relating to the environmental degradation expected to result from burning coal to generate electricity. In support of these allegations, it highlights that Pakistans government has acknowledged the reality and consequences of climate change with the National Climate Change Policy of 2012 and the Framework for Implementation of Climate Change Policy of 2013. 

Ali maintained that exploiting the coalfields would further destabilize the climate system and infringe citizens constitutional rights to life, liberty, dignity, information, equal protection before the law, among others. The right to life, she argued, included an inalienable right to a stable climate system void of dangerous levels of CO2. Ali noted that Pakistan committed to and was bound by the UN Framework Convention on Climate Change (UNFCCC) and the Paris Agreement. While she acknowledged that Pakistan could not solve climate change alone, she said that it must do its fair share to keep atmospheric CO2 concentrations within the safe level. 

While the Petition alleges a variety of specific acts or omissions by Pakistans government, its chief focus is on the approval of a plan to develop coal fields located in the Thar desert region, located in the southeast corner of the country. That development is anticipated to increase Pakistani coal production from 4.5 to 60 million metric tons per year, with a commensurate increase in greenhouse gas emissions. The plaintiff argued that exploitation of the Thar coalfields would release approximately 327 billion tons of CO2, more than 1,000 times Pakistans previous estimate for annual GHG emissions. Coal mining in the Thar Desert would also worsen air pollution, impact water quality.  It is also expected to displace residents in that region, and to lead to environmental degradation both directly (through water quality impacts) and indirectly (through air quality impacts from coal combustion). She claimed that thousands of Thari people were driven from their land in violation of their right to property, dignity, and equal protection before the law. The petition argued that Pakistan could potentially use renewable energy to power all of its energy needs, including in the transport, industrial, and agriculture sectors. Ali also sought protection for mangroves for sequestering carbon and protecting against sea level rise. As the Petition notes, the China-Pakistan Economic Corridor is the source of investments of $1.2 billion for both coal field development and for the development of multiple coal-fired power plants in Pakistan. 

",Pending,['Pakistan>Punjab>Lahore High Court'],"['Suits against governments>Human Rights>Youth/Children', 'Suits against governments>Public Trust']",['Pakistan'],Injunction against development of Thar Coalfield,https://climatecasechart.com/non-us-case/ali-v-federation-of-pakistan-2/
Leghari v. Federation of Pakistan,"Ashgar Leghari, a Pakistani farmer sued the national government for failure to carry out the National Climate Change Policy of 2012 and the Framework for Implementation of Climate Change Policy (2014-2030). Leghari argued that the government should pursue climate mitigation or adaptation efforts, and that the governments failure to meet its climate change adaptation targets had resulted in immediate impacts on Pakistans water, food, and energy security. Such impacts offended his fundamental right to life.

On September 4, 2015, an appellate court in Pakistan granted the Leghari's claims, describing climate change as a defining challenge of our time. Citing domestic and international legal principles, the court determined that ""the delay and lethargy of the State in implementing the Framework offend the fundamental rights of the citizens."" The court reasoned that the constitutional rights to life and human dignity (under articles 9 and 14 of the constitution) included the right to a healthy and clean environment. Further, interpretation of these fundamental rights must be guided by (i) the constitutional values of democracy, equality, and social, economic, and political justice; and (ii) international environmental principles of sustainable development, precautionary principle, intergenerational and intragenerational equity, and the doctrine of public trust.

Although the government had formulated a climate change policy and implementation framework, the court concluded there had been no real progress with implementation. To oversee the execution of the policy, the court (i) directed several government ministries to each nominate ""a climate change focal person"" to help ensure the implementation of the Framework, and to present a list of action points by December 31, 2015; and (ii) created a Climate Change Commission composed of representatives of key ministries, NGOs, and technical experts to monitor the government's progress. On September 14, 2015, the court issued a supplemental decision naming 21 individuals to the Commission and vesting it with various powers. 

On January 25, 2018, the court took note of the submission of a report from the Climate Change Committee noting that during the period from September 2015 to January 2017 66% of the priority actions from the Framework for Implementation Climate Change Policy have been implemented. After dissolving the commission, the court constituted a standing committee, creating an ongoing link between the court and the executive. 

In its final order, the court nominated climate justice as the successor to environmental justice. Environmental justicesaid the courtrevolved around enforcing national laws, with decisions informed by international legal principles. It focused on shifting or stopping pollutive industries. Climate justice, as the court envisioned it, adopted a human-centered approach. It linked human rights with development. It sought to safeguard the rights of vulnerable peoples and share the burdens and benefits of climate change and its impacts equitably and fairly. Climate justice was informed by science, responds to science and acknowledges the need for
equitable stewardship of the worlds resources. However, realizing that climate justice was challenging, the court acknowledged that polluters often fell beyond national borders and were difficult to identify. Finally, the court outlined its vision for water justice as a human right to access clean water and a sub-concept of climate justice. ",Granted,['Pakistan>Punjab>Lahore High Court'],"['Suits against governments>Human Rights>Other', 'Suits against governments>Human Rights>Right to a healthy environment', 'Suits against governments>GHG emissions reduction and trading>Other']",['Pakistan>National Climate Policy and Framework of 2012'],Farmer challenged government for failure to carry out core provisions of 2012 law,https://climatecasechart.com/non-us-case/ashgar-leghari-v-federation-of-pakistan/
In re Greenpeace Southeast Asia and Others,"Greenpeace Southeast Asia and numerous other organizations and individuals filed a petition asking the Commission to investigate a general issuethe human rights implications of climate change and ocean acidification and the resulting rights violations in the Philippinesand a more specific onewhether the investor-owned Carbon Majors have breached their responsibilities to respect the rights of the Filipino people. The core factual allegation of the petition draws on research identifying particular entities quantum of responsibility for anthropogenic greenhouse gas emissions since 1751. The original petition names 50 of those entities, all publicly traded corporations, as respondents. It identifies multiple sources of human rights, but draws most heavily on the UN Human Rights Commissions Guiding Principles on Business and Human Rights.

During a conference held on December 11, 2017, the Commission accepted the petition and confirmed that they would investigate the potential human rights violations stemming from major fossil fuel companies contributions to climate change. The Commission announced it would hold fact-finding missions and public hearings in 2018. In March 2018, the Commission held its first public hearings to investigate the alleged responsibility of major fossil fuel companies or  carbon majors for climate change and the potential impacts on the human rights of Filipinos.

On December 9, 2019, the Commission announced its finding that major fossil fuel companies could be held liable for climate change impacts. According to news reports, the Commission concluded that legal responsibility for climate damage is not covered by current international human rights law, but fossil fuel companies have a clear moral responsibility, and the onus falls on individual countries to pass strong legislation and establish legal liability in their courts. The Commission further found that that existing civil law in the Philippines provided grounds for action, and it may also be possible to hold companies criminally accountable where they have been clearly proved to have engaged in acts of obstruction and willful obfuscation. The Commission also concluded that major fossil fuel companies have an obligation to respect human rights as articulated by the United Nations Guiding Principles on Business and Human Rights.

On May 6, 2022, the Commission on Human Rights of the Philippines (CHR) issued the final report of its multi-year investigation into 47 investor-owned corporations for human rights harms that result from their actions triggering climate change. Major findings in the report include:

1. Carbon Majors products contributed to 21.4% of global emissions (p. 99). The Carbon Majors had early awareness, notice, or knowledge of their products adverse impacts on the environment and climate system, at the latest, in 1965. (pp. 101-104)

2. Carbon Majors, directly by themselves or indirectly through others, singly and/or through concerted action, engaged in willful obfuscation of climate science, which has prejudiced the right of the public to make informed decisions about their products, concealing that their products posed significant harms to the environment and the climate system. (pp. 108-109)

3. In addition to liability anchored on acts of obfuscation of climate science, fossil-based companies may also be held to account by their shareholders for continued investments in oil explorations for largely speculative purposes. (p. 109)

4. All acts to obfuscate climate science and delay, derail, or obstruct this transition may be a basis for liability. At the very least, they are immoral (p. 115). Climate change denial and efforts to delay the global transition from fossil fuel dependence still persists. Obstructionist efforts are driven, not by ignorance, but by greed. Fossil fuel enterprises continue to fund the electoral campaigns of politicians, with the intention of slowing down the global movement towards clean, renewable energy. (p. 110)

5. The Carbon Majors have the corporate responsibility to undertake human rights due diligence and provide remediation (p. 110). Business enterprises, including their value chains, doing business in, or by some other reason within the jurisdiction of, the Philippines, may be compelled to undertake human rights due diligence and held accountable for failure to remediate human rights abuses arising from their business operations (pp. 113-114).",Decided,['Philippines>Commission on Human Rights'],"['Suits against corporations, individuals>Corporations>GHG emissions reduction']",['Philippines>Filipino Constitution of 1987'],Investigation into allegation that largest emitters have violated human rights of Filipinos by causing climate change and ocean acidification,https://climatecasechart.com/non-us-case/in-re-greenpeace-southeast-asia-et-al/
"In re Ceramica Dolores Garcia Bazataqui S.L.: Judgment No. 3421/2009 of May 29, 2009","Ceramica Dolores Garcia Bazataqui S.L. brought suit challenging the decision of the Council of Ministers of Spain of January 21, 2005 that declared the individual assignment of emissions allowances for the 2005-2007 term.  Ceramica was assigned 18,051 annual credits, instead of the 29,023.76 it had requested.  It argued that the assignment of credits was done in violation of provisions in Royal Decree 1866/2004 of September 6, 2004, which required consideration of increased production capacity prior to a certain date in order to determine acceptable emissions levels and the corresponding assignment of credits.  The Court rejected this argument and dismissed the petition, as the record reflected that the Administration had adequately taken these factors into account.",Denied,['Spain>Supreme Court of Spain>Administrative Litigation Division'],['Suits against governments>GHG emissions reduction and trading>EU ETS'],['Spain>Royal Decree Law 1866/2004 of September 6'],Challenge to individual assignment of credits,https://climatecasechart.com/non-us-case/in-re-ceramica-dolores-garcia-bazataqui-sl-judgment-no-34212009-of-may-29-2009/
"In re Arcelor Espana, S.A., Judgment No. 5087/2009 of July 17, 2009","Arcelor Espana, S.A. (previously known as Arcelaria Corporacion Siderurgica, S.A.) challenged the decision of the Council of Ministers of Spain of January 21, 2005, declaring the individual assignment of emissions credits for the 2005-2007 term.  Arcelor argued the decision was void because (1) the European norm on which it was based violated the principles of equality, freedom of enterprise, the right to property, and rule of law; and (2) Spanish Law 1/2005 of March 9th, which transposed the EUs Directive 2003/87/EC, was also invalid as to its applicability to the iron and steel industry and not to others that compete with the same (e.g. the chemical sector and the sector for non-ferrous metals).  The Court rejected Arcelors arguments and dismissed its request for remedy. ",Denied,['Spain>Supreme Court of Spain>Administrative Litigation Division'],['Suits against governments>GHG emissions reduction and trading>EU ETS'],['Spain>Royal Decree Law 1/2005 of March 9th'],Sought declaration that both were invalid,https://climatecasechart.com/non-us-case/in-re-arcelor-espana-sa-judgment-no-50872009-of-july-17-2009/
"In re Foraneto, S.L, Judgment No. 5347/2008 of Oct. 6, 2008","Foraneto, S.L. brought suit against the Council of Ministers of Spain challenging their decision to approve the individual assignment of emissions credits to its energy plant in Tarragona at a total of 140,250 tons of CO2 for 2005-2007 period, or 46.750 tons per year, under the provisions of Royal Decree 5/2004 of August 27th.  Foraneto sought partial annulment of the Councils decision in order to increase its credit allowance by a total of 35,318 tons, or 11,772 additional tons per year (the amount originally requested); in the alternative, they sought compensation at the average market rate.  The court found in Foranetos favor, holding that the assignment of credits was made by applying formalistic factors that did not take into account the real volume of production at the Tarragona facility.  Based on an experts testimony, the court changed the assignment to a total of 174,508 tons for the 2005-2007 period, or 58.136 tons per year.",Granted,['Spain>Supreme Court of Spain>Administrative Litigation Division'],['Suits against governments>GHG emissions reduction and trading>EU ETS'],['Spain>Royal Decree Law 5/2004 of August 27'],Challenge to individual assignment of emissions,https://climatecasechart.com/non-us-case/in-re-foraneto-sl-judgment-no-53472008-of-oct-6-2008/
"In re Electra de Viesgo Distribucion S.L., Judgment No. 6846/2009 of July 15, 2009","Electra de Viesgo Distribucion S.L. and Viesgo Generacion S.L. (also known as E.On Distribucion S.L. and E. On Generacion S.L.) brought suit challenging the individual assignment of emissions credits contained in Royal Decree 1866/2004 of September 6, 2004, which approved the National Plan for Assignment of emissions credits 2005-2007.  The decree, argued the plaintiffs, did not contain a savings clause applicable to the electricity sector (as it did for the industrial sector) to allow the adjustment of the credits assigned to facilities for which the reference period for the overall calculation of credits (the years 2002-2000) was not representative of historic emissions.  Electra argued that not allowing otherwise eligible facilities to apply for adjustment of credits in accordance with their truly representative emissions periods resulted in a violation of the principle of equality.  The Court found in favor of plaintiffs, inasmuch as the Administration did not provide a justification for not providing a savings clause to the electricity sector, and declared null and void section 4.A.a. of the National Plan.",Granted,['Spain>Supreme Court of Spain>Administrative Litigation Division'],['Suits against governments>GHG emissions reduction and trading>EU ETS'],['Spain>Royal Decree Law 1866/2004 of September 6'],Sought annulment of provision in National Allocation Plan,https://climatecasechart.com/non-us-case/in-re-electra-de-viesgo-distribucion-sl-judgment-no-68462009-of-july-15-2009/
"In re Union Fenosa Generacion, S.A., Judgment No. 6903/2008 of Sept. 30, 2008","An energy company, Union Fenosa Generacion, S.A., brought suit against a decision of the Council of Ministers of Spain of January 21, 2005, whereby it approved the assignment of emissions allowances to two of the companys power plants for the 2005-2007 term under the provisions of Royal Decree 5/2004 of August 27th, which regulated the market for GHG emissions trading.  The Court granted plaintiffs request for an increase in the emission allowances for its combined cycle power plant in Huelva, which had been incorrectly considered a new entrant to the emissions market under the regulations timetable. Plaintiffs request for an increase in its emission allowances as to its coal-fired power plant in La Coruna, one of the five worst emitters in the country  was denied. The Court found that the government was justified in applying the maximum penalty of 55% over the total 2000-2002 historical emissions for that category of emitter, despite the fact that plaintiff was thus allowed a lower emission factor than other emitters of the same generation of technologies.",Denied,['Spain>Supreme Court of Spain>Administrative Litigation Division'],['Suits against governments>GHG emissions reduction and trading>EU ETS'],['Spain>Royal Decree Law 5/2004 of August 27'],Challenge to emissions allowance,https://climatecasechart.com/non-us-case/in-re-union-fenosa-generacion-sa-judgment-no-69032008-of-sept-30-2008/
"In re Ceramica General Castanos, S.A., Judgment No. 7168/2008 of Dec. 3, 2008","Ceramica General Castanos, S.A., brought suit against the decision of the Council of Ministers of Spain of January 21, 2005 approving the assignment of emission credits to its facility in Bailen for the 2005-2007 term at 6,666 annual tons of CO2.  The Court found in favor of Ceramica, inasmuch as the Administration had not taken into account the proven increase in production capacity that was expected from the facilitys new wing. According to the Court, Royal Decree 1866/2004 of September 6, 2004 required consideration of increased production capacity prior to a certain date in order to determine acceptable emissions levels and the corresponding assignment of credits.  However, the Court found there was insufficient proof in the record to sustain Ceramicas argument for an increase to 7,725 annual tons of CO2.  Accordingly, the Court annulled the individual assignment of emissions credits and ordered that a new calculation take place in harmony with its findings.",Remanded,['Spain>Supreme Court of Spain>Administrative Litigation Division'],['Suits against governments>GHG emissions reduction and trading>EU ETS'],['Spain>Royal Decree Law 1866/2004 of September 6'],"Individual assignment annulled, new calculation ordered",https://climatecasechart.com/non-us-case/in-re-ceramica-general-castanos-sa-judgment-no-71682008-of-dec-3-2008/
"In re Minera Catalana Aragonesa, S.A., Judgment No. 7449/2008 of Nov. 18, 2008","Minera Catalana Aragonesa, S.A. brought suit against the General Government Administration of Spain (Ministry of the Environment) challenging the decision of the Council of Ministers of Spain of July 14, 2006, approving the individual assignment of emissions credits to its ceramics facility in the region of Onda.  Minera Catalana had requested the exclusion of the types of processes employed at its facility (the drying of barbotine, a mixture of clay and water, by atomization) in the definition of combustion facilities under Law 1/2005 of March 9th, as modified by Royal Decree 5/2005 of March 11th, which regulates the market for GHG emissions trading in Spain.  The court found in Minera Catalanas favor, adopting its argument that because its combustion processes were not used for energy production they could not be included in the scope of Law 1/2005, and declared the decision of the Council of Ministers in this respect null and void.",Granted,['Spain>Supreme Court of Spain>Administrative Litigation Division'],['Suits against governments>GHG emissions reduction and trading>EU ETS'],['Spain>Royal Decree Law 1/2005 of March 9th'],Challenging to individual assignment of emissions allowances,https://climatecasechart.com/non-us-case/minera-catalana-aragonesa-sa-judgment-no-74492008-of-nov-18-2008/
"In re E.ON Generacion S.A., Judgment No. 1205/2010 of Mar. 4, 2010","An energy retailing company brought suit against the General Government Administration of Spain, challenging Royal Decree 1370/2006 of November 24th (Official Bulletin of the State No. 282 of November 25, 2006), which implemented amendments to Spains National Allocation Plan for greenhouse gas allowances for 2008-2012.  Court found that rules setting standards for SO2 emissions, and which took into account investments to reduce SO2 emissions by coal-fired power plants in assigning emission allowances under the Plan, were null and void on their face because they were not specifically authorized by Spains implementing statute for the EUs Directive 2003/87/EC of the European Parliament and of the Council of 13 October 2003, Law 1/2005 of March 9th.  Rules relating to the provisional assignment of credits for new installations also found to be contrary to the implementing statute because they effectively altered the definition of new entrants in the statute.  However, the Court rejected plaintiffs argument that the Plans methodology for the assignment of credits to coal-fired power plants was invalid because it placed undue burdens on certain facilities, as well as its argument that the allowance reserves for new entrants were inadequately low.
",Challenged rules vacated in part,['Spain>Supreme Court of Spain>Administrative Litigation Division'],['Suits against governments>GHG emissions reduction and trading>EU ETS'],"['Spain>Royal Decree Law 1370/2006 of November 24', 'European Union>Secondary Law>Directives>2003/87/EC']",Challenge to rules promulgated under Royal Decree,https://climatecasechart.com/non-us-case/eon-generacion-sa-judgment-no-12052010-of-mar-4-2010/
"In re Segura, S.L., Judgment No. 4745/2009 of July 6, 2009","A mineral extraction company, Segura, S.L., brought suit against a decision of the Council of Ministers of Spain of January 21, 2005, which approved the assignment of emission credits to the companys limestone processing facility in Seville for the 2005-2007 term under the provisions of Royal Decree 5/2004 of August 27th, which regulated the market for GHG emissions trading.  The Court found that the decision of the Council was invalid because it did not adduce adequate foundation as to the criteria that were applied to quantify the emission credits assigned to Segura, S.L., and ordered the Council to conduct the assignment of credits anew.  Adequate foundation deemed important to avoid arbitrary application of rules, to promote transparency in the market for emissions trading, and avoid impinging on principles of sound competition. ",Granted,['Spain>Supreme Court of Spain>Administrative Litigation Division'],['Suits against governments>GHG emissions reduction and trading>EU ETS'],['Spain>Royal Decree Law 5/2004 of August 27'],Challenge to emissions allowance,https://climatecasechart.com/non-us-case/in-re-segura-sl-judgment-no-47452009-of-july-6-2009/
"In re Macerba de Bailen, S.L, Judgment No. 6888/2008 of Oct. 1, 2008","A brick manufacturer, Macerba de Bailen, S.L., brought suit against a decision of the Council of Ministers of Spain of January 21, 2005 approving the assignment of emission allowances to its factory in Bailen at a total of 43.746 tons of CO2 over the course of three years (2005-2007), or 14.582 tons per year.  The Court declared the decision of the Council of Ministers null and void as a matter of both Spanish administrative and constitutional law, as well as the laws of the European Union. The administrative record did not adduce any reasons for the Councils decision to assign to the facility an amount substantially less than requested (27,825 tons of CO2 annually, or a total of 83,475 tons for the 2005-2007 term) though the request was substantiated by technical evidence indicating that the factory was in the process of expanding its production capacity. The Ministry of the Environment was ordered to conduct a new assignment of credits. ",Granted,['Spain>Supreme Court of Spain>Administrative Litigation Division'],['Suits against governments>GHG emissions reduction and trading>EU ETS'],[],Challenge to emissions allowance,https://climatecasechart.com/non-us-case/in-re-macerba-de-bailen-sl-judgment-no-68882008-of-oct-1-2008/
"In re Ladri Bailen, S.L., Judgment No. 6895/2008 of Nov. 19, 2008","A brick manufacturer, Ladri Bailen, S.L., brought suit against a decision of the Council of Ministers of Spain of January 21, 2005 approving the assignment of emission allowances to its factory in Bailen at a total of 57,033 tons of CO2 for the 2005-2007 period, or 19,011 tons per year.  The Court declared the decision of the Council of Ministers null and void as a matter of both Spanish administrative and constitutional law, as well as the laws of the European Union. The administrative record did not adduce sufficient reasons for the decision to assign to the facility an amount substantially less than requested (27,346 tons of CO2 annually, or a total of 83,038 tons for the 2005-2007 period) , though the request had been substantiated by adequate evidence indicating that the factory had increased its production capacity.  The Ministry of the Environment was ordered to conduct a new assignment of credits. ",Granted,['Spain>Supreme Court of Spain>Administrative Litigation Division'],['Suits against governments>GHG emissions reduction and trading>EU ETS'],['Spain>Royal Decree Law 5/2004 of August 27'],Challenge to emissions allowance,https://climatecasechart.com/non-us-case/in-re-ladri-bailen-sl-judgment-no-68952008-of-nov-19-2008/
"In re Ceramica Hermanos Fernandez S.L., Judgment No. 6947/2008 of Dec. 3, 2008","Ceramica Hermanos Fernandez S.L. brought suit against the General Government Administration of Spain challenging the decision of the Council of Ministers of Spain of January 21, 2005 approving an individual assignment of emissions credits to its facility.   The court denied Ceramicas petition.  It rejected petitioners argument that the Councils decision had violated its right of free enterprise because individual assignments were not being based on objective criteria, and that its particular assignment should have been based on the facilitys production capacity, as opposed to its actual production. ",Denied,['Spain>Supreme Court of Spain>Administrative Litigation Division'],['Suits against governments>GHG emissions reduction and trading>EU ETS'],['Spain>Royal Decree Law 1866/2004 of September 6'],Challenge to individual assignment of emissions ,https://climatecasechart.com/non-us-case/in-re-ceramica-hermanos-fernandez-sl-judgment-no-69472008-of-dec-3-2008/
"In re Cales de Llierca, S.A., Judgment No. 7167/2008 of Dec. 2, 2008","Cales de Llierca, S.A., brought suit against the Council of Ministers of Spain challenging their decision of January 21, 2005 approving the individual assignment of emissions credits to its lime processing facility for the 2005-2007 period.  Cales de Llierca argued the assignment of credits was done in violation of provisions in Royal Decree 1866/2004 which required consideration of increased production capacity prior to a certain date in order to determine acceptable emissions levels and the corresponding assignment of credits.   The court found in favor of Cales de Llierca and ordered the Council to conduct a new assignment of credits, holding that the administrative record did not sustain the Councils conclusion regarding the facilitys production capacity and that it had misapplied the methodologies required by applicable laws in reaching its conclusion.",Granted,['Spain>Supreme Court of Spain>Administrative Litigation Division'],['Suits against governments>GHG emissions reduction and trading>EU ETS'],['Spain>Royal Decree Law 1866/2004 of September 6'],Challenge to individual assignment of emissions ,https://climatecasechart.com/non-us-case/in-re-cales-de-llierca-sa-judgment-no-71672008-of-dec-2-2008/
Urgenda Foundation v. State of the Netherlands,"A Dutch environmental group, the Urgenda Foundation, and 900 Dutch citizens sued the Dutch government to require it to do more to prevent global climate change. The court in the Hague ordered the Dutch state to limit GHG emissions to 25% below 1990 levels by 2020, finding the governments existing pledge to reduce emissions by 17% insufficient to meet the states fair contribution toward the UN goal of keeping global temperature increases within two degrees Celsius of pre-industrial conditions. The court concluded that the state has a duty to take climate change mitigation measures due to the severity of the consequences of climate change and the great risk of climate change occurring. In reaching this conclusion, the court cited (without directly applying) Article 21 of the Dutch Constitution; EU emissions reduction targets; principles under the European Convention on Human Rights; the no harm principle of international law; the doctrine of hazardous negligence; the principle of fairness, the precautionary principle, and the sustainability principle embodied in the UN Framework Convention on Climate Change; and the principle of a high protection level, the precautionary principle, and the prevention principle embodied in the European climate policy. The court did not specify how the government should meet the reduction mandate, but offered several suggestions, including emissions trading or tax measures. This is the first decision by any court in the world ordering states to limit greenhouse gas emissions for reasons other than statutory mandates. 

The Dutch government submitted 29 grounds of appeal. Urgenda submitted a cross-appeal, contesting the courts decision that Urgenda cannot directly invoke Articles 2 & 8 of the European Convention on Human Rights (ECHR) in these proceedings.

On Oct 9, 2018, the Hague Court of Appeal upheld the District Court's ruling, concluding that by failing to reduce greenhouse gas emissions  by  at least 25% by end-2020, the Dutch government is acting unlawfully in contravention of its duty of care under Articles 2 and 8 of the ECHR. The court recognized Urgendas claim under Article 2 of the ECHR, which protects a right to life, and Article 8 of the ECHR, which protects the right to private life, family life, home, and correspondence. The court determined that the Dutch government has an obligation under the ECHR to protect these rights from the real threat of climate change. The court rejected the governments argument that the lower court decision constitutes an order to create legislation or violation of trias politica and the role of courts under the Dutch constitution. In response to these appeals, the court affirmed its obligation to apply provisions with direct effect of treaties to which the Netherlands is party, including Articles 2 and 8 of the ECHR. Further, the court found nothing in Article 193 of the Treaty on the Functioning of the European Union that prohibits a member state from taking more ambitious climate action than the E.U. as a whole, nor that adaptation measures can compensate for the governments duty of care to mitigate greenhouse gas emissions, nor that the global nature of the problem excuses the Dutch government from action.

The Dutch government appealed the decision, and the Netherlands' Supreme Court heard the appeal on May 24, 2019. On September 13 the Advocate and Procurator General, independent judicial officers, issued a formal opinion recommending that the Supreme Court uphold the decision.

On December 20, 2019, the Supreme Court of the Netherlands upheld the decision under Articles 2 and 8 of the ECHR. 
",Decided,"['Netherlands>The Hague>Court of Appeals', 'Netherlands>The Hague>District Court']","['Suits against governments>GHG emissions reduction and trading>Other', 'Suits against governments>Human Rights']","['Netherlands>Constitution', 'European Convention on Human Rights']",Seeking declaratory judgment and injunction to compel the Dutch government to reduce GHG emissions,https://climatecasechart.com/non-us-case/urgenda-foundation-v-kingdom-of-the-netherlands/
